A,B,C,D,E
-1.1922969577132092,0.11177555265055691,1.8515000486330053,-0.3833391003103568,1.8848199199978555
0.8161411764110306,-0.5439890554742949,-0.062472440886501834,1.5207552202384766,0.2817715136092789
-0.08558594869075957,-1.6376708257273014,-0.5697493028606393,-1.2594929238733117,1.1086588970372255
1.7845687192666169,0.43832601031372104,1.1477867202331085,-2.2119258564123374,0.13682032292678292
0.059754153824171485,-0.298260921176504,-0.5312162294022615,0.16318795427514815,-1.2474597921432928
0.3169668796022462,0.5565603930596217,-0.1713843095491762,-2.0096713062228972,0.7779140487734703
-0.03986043085675972,-1.8232670287963844,-1.8131220153464076,0.4115137160712324,-1.2580535181030847
1.2331095146563609,-0.19535512483073375,1.7649884741892476,-0.3414763380113502,0.6510134577777146
0.09559565924529176,0.6470710189139149,-0.11527161864680269,-0.00949536706426053,1.0397693894233668
-0.13525345314732073,-0.17317131474227296,0.30618514641148253,0.17480172281998285,-0.6281972582512052
